word,n,theme,literal
seal,92,wildlife,seal
bear,73,wildlife,bear
seal,70,wildlife,seals
birds,60,wildlife,birds
muskox,39,wildlife,muskox
whale,39,wildlife,whale
birds,33,wildlife,bird
fish,31,wildlife,fish
fox,28,wildlife,fox
walrus,27,wildlife,walrus
whale,20,wildlife,whales
dovekies,18,wildlife,dovekies
bear,15,wildlife,bears
gulls,14,wildlife,gulls
muskox,14,wildlife,muskoxen
gulls,11,wildlife,gull
ptarmigan,10,wildlife,ptarmigan
hare,9,wildlife,hare
geese,8,wildlife,geese
narwhal,8,wildlife,narwhal
lemming,7,wildlife,lemming
murre,7,wildlife,murres
raven,6,wildlife,raven
caribou,5,wildlife,caribou
geese,5,wildlife,goose
lemming,5,wildlife,lemmings
mosquitoes,5,wildlife,mosquitoes
raven,5,wildlife,ravens
insects,4,wildlife,insects
muskox,4,wildlife,ox
butterflies,3,wildlife,butterflies
butterfly,3,wildlife,butterfly
gyrfalcon,3,wildlife,gyrfalcon
jellyfish,3,wildlife,jellyfish
kittiwake,3,wildlife,kittiwake
spiders,3,wildlife,spiders
puffins,2,wildlife,puffins
turnstone,2,wildlife,turnstone
whale,2,wildlife,whale’s
beetles,1,wildlife,beetles
bombyx,1,wildlife,bombyx
bumblebees,1,wildlife,bumblebees
dovekies,1,wildlife,dovekie
falcon,1,wildlife,falcon
fox,1,wildlife,fox’s
ladybug,1,wildlife,ladybug
looms,1,wildlife,looms
metamerae,1,wildlife,metamerae
mollusc,1,wildlife,mollusc
molluscs,1,wildlife,molluscs
moth,1,wildlife,moth
murre,1,wildlife,murre
mysis,1,wildlife,mysis
narwhal,1,wildlife,narwhal’s
pycnogonidae,1,wildlife,pycnogonidae
nymphon,1,wildlife,nymphon
ovibos,1,wildlife,ovibos
ox’s,1,wildlife,ox’s
palaemonidae,1,wildlife,palaemonidae
poduridae,1,wildlife,poduridae
priapulus,1,wildlife,priapulus
sanderling,1,wildlife,sanderling
sanderlings,1,wildlife,sanderlings
seabirds,1,wildlife,seabirds
seal’s,1,wildlife,seal’s
selachians,1,wildlife,selachians
selachus,1,wildlife,selachus
snails,1,wildlife,snails
staphylin,1,wildlife,staphylin
waterfowl,1,wildlife,waterfowl
worm,1,wildlife,worm
